0	16

1	87

2	84

3	39

4	33

5	141

6	5

7	162

8	124

9	166

10	51

11	189

12	132

13	131

14	137

15	198

16	189

17	7

18	174

19	96

20	147

21	85

22	81

23	107

24	156

25	81

26	76

27	105

28	58

29	1

30	181

31	74

32	88

33	65

34	65

35	74

36	159

37	23

38	188

39	83

40	189

41	39

42	24

43	74

44	123

45	161

46	24

47	112

48	120

49	198

50	9

51	68

52	35

53	90

54	127

55	191

56	123

57	4

58	96

59	181

60	5

61	29

62	7

63	45

64	95

65	25

66	71

67	54

68	0

69	59

70	89

71	141

72	99

73	114

74	15

75	22

76	27

77	39

78	86

79	148

80	190

81	95

82	168

83	177

84	137

85	95

86	169

87	60

88	51

89	17

90	193

91	8

92	47

93	153

94	54

95	94

96	130

97	77

98	148

99	82

100	137

101	189

102	23

103	188

104	103

105	191

106	10

107	131

108	182

109	48

110	79

111	124

112	144

113	199

114	102

115	33

116	94

117	23

118	46

119	146

120	192

121	191

122	154

123	191

124	144

125	160

126	85

127	26

128	38

129	185

130	108

131	127

132	175

133	84

134	115

135	30

136	75

137	77

138	161

139	9

140	125

141	192

142	134

143	21

144	191

145	188

146	7

147	38

148	11

149	53

150	136

151	155

152	44

153	90

154	147

155	141

156	3

157	184

158	119

159	193

160	170

161	28

162	120

163	97

164	64

165	187

166	127

167	91

168	64

169	41

170	100

171	141

172	185

173	34

174	163

175	129

176	174

177	170

178	167

179	185

180	175

181	103

182	141

183	19

184	145

185	40

186	112

187	100

188	24

189	32

190	45

191	194

192	12

193	165

194	43

195	76

196	104

197	171

198	167

199	168

200	164

201	19

202	62

203	149

204	6

205	25

206	78

207	180

208	147

209	197

210	166

211	74

212	100

213	59

214	93

215	198

216	99

217	158

218	50

219	75

220	190

221	96

222	22

223	2

224	13

225	65

226	30

227	118

228	36

229	149

230	38

231	152

232	168

233	100

234	102

235	174

236	77

237	180

238	155

239	24

240	178

241	73

242	98

243	30

244	84

245	144

246	180

247	135

248	102

249	31

250	10

251	44

252	127

253	32

254	198

255	140

256	98

257	28

258	58

259	86

260	177

261	97

262	39

263	97

264	149

265	93

266	72

267	27

268	73

269	179

270	3

271	3

272	4

273	54

274	186

275	88

276	198

277	166

278	175

279	52

280	197

281	185

282	48

283	76

284	170

285	46

286	169

287	20

288	74

289	179

290	58

291	3

292	28

293	49

294	100

295	178

296	142

297	124

298	5

299	168

300	103

301	8

302	171

303	107

304	62

305	109

306	147

307	12

308	76

309	122

310	16

311	25

312	60

313	64

314	54

315	30

316	110

317	23

318	2

319	136

320	2

321	60

322	91

323	31

324	110

325	192

326	9

327	4

328	68

329	166

330	172

331	124

332	126

333	96

334	183

335	141

336	5

337	131

338	105

339	33

340	53

341	122

342	59

343	65

344	138

345	65

346	47

347	49

348	88

349	49

350	137

351	42

352	110

353	29

354	73

355	172

356	173

357	34

358	176

359	41

360	152

361	101

362	165

363	79

364	197

365	149

366	172

367	154

368	32

369	77

370	188

371	37

372	151

373	199

374	103

375	90

376	64

377	150

378	139

379	152

380	0

381	28

382	194

383	62

384	57

385	20

386	186

387	30

388	6

389	114

390	24

391	159

392	15

393	189

394	190

395	164

396	90

397	114

398	119

399	122

400	191

401	107

402	160

403	143

404	106

405	15

406	185

407	170

408	165

409	76

410	74

411	117

412	104

413	20

414	131

415	162

416	40

417	69

418	144

419	199

420	184

421	168

422	110

423	151

424	158

425	100

426	116

427	0

428	166

429	35

430	75

431	157

432	94

433	35

434	52

435	0

436	2

437	37

438	122

439	167

440	113

441	196

442	37

443	18

444	16

445	120

446	132

447	9

448	190

449	76

450	8

451	126

452	45

453	118

454	77

455	155

456	170

457	145

458	107

459	136

460	132

461	182

462	45

463	26

464	17

465	50

466	178

467	171

468	87

469	100

470	139

471	153

472	96

473	128

474	123

475	65

476	0

477	55

478	74

479	142

480	83

481	34

482	68

483	80

484	104

485	98

486	35

487	26

488	195

489	143

490	114

491	128

492	125

493	159

494	106

495	95

496	161

497	85

498	66

499	49

500	185

501	157

502	154

503	34

504	37

505	77

506	99

507	38

508	84

509	125

510	132

511	167

512	111

513	1

514	48

515	15

516	51

517	35

518	193

519	46

520	130

521	107

522	126

523	8

524	18

525	33

526	55

527	180

528	118

529	73

530	181

531	55

532	31

533	135

534	89

535	20

536	164

537	140

538	10

539	48

